Species 1,Species 2,Uncorr_pdist
CE10522,CE10523,0
CE10522,CE10784,0.047112462
CE10523,CE10784,0.047112462
CE10522,CE10836,0.047112462
CE10523,CE10836,0.047112462
CE10784,CE10836,0.0030395137
CE10522,CE10846,0.0455974843
CE10523,CE10846,0.0455974843
CE10784,CE10846,0
CE10836,CE10846,0.0031446541
CE10522,CE10847,0.047112462
CE10523,CE10847,0.047112462
CE10784,CE10847,0
CE10836,CE10847,0.0030395137
CE10846,CE10847,0
CE10522,CE10848,0.047112462
CE10523,CE10848,0.047112462
CE10784,CE10848,0
CE10836,CE10848,0.0030395137
CE10846,CE10848,0
CE10847,CE10848,0
CE10522,CE10849,0.047112462
CE10523,CE10849,0.047112462
CE10784,CE10849,0.0030395137
CE10836,CE10849,0
CE10846,CE10849,0.0031446541
CE10847,CE10849,0.0030395137
CE10848,CE10849,0.0030395137
CE10522,CE10865,0.0015197568
CE10523,CE10865,0.0015197568
CE10784,CE10865,0.0486322188
CE10836,CE10865,0.0486322188
CE10846,CE10865,0.0471698113
CE10847,CE10865,0.0486322188
CE10848,CE10865,0.0486322188
CE10849,CE10865,0.0486322188
CE10522,CE11349,0.0034542314
CE10523,CE11349,0.0034542314
CE10784,CE11349,0.0535405872
CE10836,CE11349,0.0535405872
CE10846,CE11349,0.052064632
CE10847,CE11349,0.0535405872
CE10848,CE11349,0.0535405872
CE10849,CE11349,0.0535405872
CE10865,CE11349,0.0034542314
CE10522,CE16688,0.0455927052
CE10523,CE16688,0.0455927052
CE10784,CE16688,0.0015197568
CE10836,CE16688,0.0015197568
CE10846,CE16688,0.001572327
CE10847,CE16688,0.0015197568
CE10848,CE16688,0.0015197568
CE10849,CE16688,0.0015197568
CE10865,CE16688,0.047112462
CE11349,CE16688,0.0518134715
CE10522,CE16864,0.047112462
CE10523,CE16864,0.047112462
CE10784,CE16864,0.0030395137
CE10836,CE16864,0
CE10846,CE16864,0.0031446541
CE10847,CE16864,0.0030395137
CE10848,CE16864,0.0030395137
CE10849,CE16864,0
CE10865,CE16864,0.0486322188
CE11349,CE16864,0.0535405872
CE16688,CE16864,0.0015197568
CE10522,CE16866,0.0440729483
CE10523,CE16866,0.0440729483
CE10784,CE16866,0.0030395137
CE10836,CE16866,0.0030395137
CE10846,CE16866,0.0031446541
CE10847,CE16866,0.0030395137
CE10848,CE16866,0.0030395137
CE10849,CE16866,0.0030395137
CE10865,CE16866,0.0455927052
CE11349,CE16866,0.0500863558
CE16688,CE16866,0.0015197568
CE16864,CE16866,0.0030395137
CE10522,CE17759,0.0030395137
CE10523,CE17759,0.0030395137
CE10784,CE17759,0.0501519757
CE10836,CE17759,0.0501519757
CE10846,CE17759,0.0487421384
CE10847,CE17759,0.0501519757
CE10848,CE17759,0.0501519757
CE10849,CE17759,0.0501519757
CE10865,CE17759,0.0045592705
CE11349,CE17759,0
CE16688,CE17759,0.0486322188
CE16864,CE17759,0.0501519757
CE16866,CE17759,0.047112462
CE10522,CE18811,0.0455927052
CE10523,CE18811,0.0455927052
CE10784,CE18811,0.0015197568
CE10836,CE18811,0.0015197568
CE10846,CE18811,0.001572327
CE10847,CE18811,0.0015197568
CE10848,CE18811,0.0015197568
CE10849,CE18811,0.0015197568
CE10865,CE18811,0.047112462
CE11349,CE18811,0.0518134715
CE16688,CE18811,0
CE16864,CE18811,0.0015197568
CE16866,CE18811,0.0015197568
CE17759,CE18811,0.0486322188
CE10522,CE19894,0.0623100304
CE10523,CE19894,0.0623100304
CE10784,CE19894,0.056231003
CE10836,CE19894,0.056231003
CE10846,CE19894,0.0503144654
CE10847,CE19894,0.056231003
CE10848,CE19894,0.056231003
CE10849,CE19894,0.056231003
CE10865,CE19894,0.0638297872
CE11349,CE19894,0.0639032815
CE16688,CE19894,0.0547112462
CE16864,CE19894,0.056231003
CE16866,CE19894,0.056231003
CE17759,CE19894,0.0623100304
CE18811,CE19894,0.0547112462
CE10522,CE19895,0.0623100304
CE10523,CE19895,0.0623100304
CE10784,CE19895,0.056231003
CE10836,CE19895,0.056231003
CE10846,CE19895,0.0503144654
CE10847,CE19895,0.056231003
CE10848,CE19895,0.056231003
CE10849,CE19895,0.056231003
CE10865,CE19895,0.0638297872
CE11349,CE19895,0.0639032815
CE16688,CE19895,0.0547112462
CE16864,CE19895,0.056231003
CE16866,CE19895,0.056231003
CE17759,CE19895,0.0623100304
CE18811,CE19895,0.0547112462
CE19894,CE19895,0
CE10522,CE19900,0.0638297872
CE10523,CE19900,0.0638297872
CE10784,CE19900,0.0577507599
CE10836,CE19900,0.0577507599
CE10846,CE19900,0.0503144654
CE10847,CE19900,0.0577507599
CE10848,CE19900,0.0577507599
CE10849,CE19900,0.0577507599
CE10865,CE19900,0.0653495441
CE11349,CE19900,0.0656303972
CE16688,CE19900,0.056231003
CE16864,CE19900,0.0577507599
CE16866,CE19900,0.0577507599
CE17759,CE19900,0.0638297872
CE18811,CE19900,0.056231003
CE19894,CE19900,0.0015197568
CE19895,CE19900,0.0015197568
CE10522,CE19902,0.0598159509
CE10523,CE19902,0.0598159509
CE10784,CE19902,0.0521472393
CE10836,CE19902,0.0521472393
CE10846,CE19902,0.0503144654
CE10847,CE19902,0.0521472393
CE10848,CE19902,0.0521472393
CE10849,CE19902,0.0521472393
CE10865,CE19902,0.0613496933
CE11349,CE19902,0.0610820244
CE16688,CE19902,0.0506134969
CE16864,CE19902,0.0521472393
CE16866,CE19902,0.0521472393
CE17759,CE19902,0.0598159509
CE18811,CE19902,0.0506134969
CE19894,CE19902,0
CE19895,CE19902,0
CE19900,CE19902,0
CE10522,CE2714,0.0030395137
CE10523,CE2714,0.0030395137
CE10784,CE2714,0.0501519757
CE10836,CE2714,0.0501519757
CE10846,CE2714,0.0487421384
CE10847,CE2714,0.0501519757
CE10848,CE2714,0.0501519757
CE10849,CE2714,0.0501519757
CE10865,CE2714,0.0045592705
CE11349,CE2714,0
CE16688,CE2714,0.0486322188
CE16864,CE2714,0.0501519757
CE16866,CE2714,0.047112462
CE17759,CE2714,0
CE18811,CE2714,0.0486322188
CE19894,CE2714,0.0623100304
CE19895,CE2714,0.0623100304
CE19900,CE2714,0.0638297872
CE19902,CE2714,0.0598159509
CE10522,CE2715,0.0030395137
CE10523,CE2715,0.0030395137
CE10784,CE2715,0.0501519757
CE10836,CE2715,0.0501519757
CE10846,CE2715,0.0487421384
CE10847,CE2715,0.0501519757
CE10848,CE2715,0.0501519757
CE10849,CE2715,0.0501519757
CE10865,CE2715,0.0045592705
CE11349,CE2715,0
CE16688,CE2715,0.0486322188
CE16864,CE2715,0.0501519757
CE16866,CE2715,0.047112462
CE17759,CE2715,0
CE18811,CE2715,0.0486322188
CE19894,CE2715,0.0623100304
CE19895,CE2715,0.0623100304
CE19900,CE2715,0.0638297872
CE19902,CE2715,0.0598159509
CE2714,CE2715,0
CE10522,CE27739,0.0015197568
CE10523,CE27739,0.0015197568
CE10784,CE27739,0.0455927052
CE10836,CE27739,0.0455927052
CE10846,CE27739,0.0440251572
CE10847,CE27739,0.0455927052
CE10848,CE27739,0.0455927052
CE10849,CE27739,0.0455927052
CE10865,CE27739,0.0030395137
CE11349,CE27739,0.0051813472
CE16688,CE27739,0.0440729483
CE16864,CE27739,0.0455927052
CE16866,CE27739,0.0425531915
CE17759,CE27739,0.0045592705
CE18811,CE27739,0.0440729483
CE19894,CE27739,0.0607902736
CE19895,CE27739,0.0607902736
CE19900,CE27739,0.0623100304
CE19902,CE27739,0.0582822086
CE2714,CE27739,0.0045592705
CE2715,CE27739,0.0045592705
CE10522,CE30774,0.0455927052
CE10523,CE30774,0.0455927052
CE10784,CE30774,0.0075987842
CE10836,CE30774,0.0075987842
CE10846,CE30774,0.0062893082
CE10847,CE30774,0.0075987842
CE10848,CE30774,0.0075987842
CE10849,CE30774,0.0075987842
CE10865,CE30774,0.047112462
CE11349,CE30774,0.0518134715
CE16688,CE30774,0.0060790274
CE16864,CE30774,0.0075987842
CE16866,CE30774,0.0075987842
CE17759,CE30774,0.0486322188
CE18811,CE30774,0.0060790274
CE19894,CE30774,0.0607902736
CE19895,CE30774,0.0607902736
